video_id,frame_key,eye_side,eye_visibility,path_to_dataset,eye_bbox_face,frame_index,eye_side_norm,eye_order
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_1_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_1_face00.jpg,"74,119,187,191",1,left,0
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_1_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_1_face00.jpg,"221,132,325,201",1,right,1
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_2_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_2_face00.jpg,"77,119,193,193",2,left,0
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_2_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_2_face00.jpg,"226,138,331,210",2,right,1
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_3_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_3_face00.jpg,"77,126,191,198",3,left,0
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_3_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_3_face00.jpg,"225,143,330,214",3,right,1
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_4_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_4_face00.jpg,"72,127,186,199",4,left,0
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_4_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_4_face00.jpg,"221,138,326,207",4,right,1
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_5_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_5_face00.jpg,"69,128,182,200",5,left,0
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_5_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_5_face00.jpg,"218,133,323,202",5,right,1
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_6_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_6_face00.jpg,"68,128,182,201",6,left,0
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_6_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_6_face00.jpg,"216,132,324,203",6,right,1
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_7_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_7_face00.jpg,"71,125,184,197",7,left,0
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_7_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_7_face00.jpg,"219,135,324,205",7,right,1
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_8_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_8_face00.jpg,"73,125,186,197",8,left,0
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_8_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_8_face00.jpg,"221,137,325,207",8,right,1
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_9_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_9_face00.jpg,"71,127,184,199",9,left,0
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_9_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_9_face00.jpg,"218,136,324,206",9,right,1
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_10_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_10_face00.jpg,"70,124,184,196",10,left,0
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_10_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_10_face00.jpg,"219,133,324,203",10,right,1
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_11_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_11_face00.jpg,"71,125,187,199",11,left,0
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_11_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_11_face00.jpg,"221,135,326,205",11,right,1
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_12_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_12_face00.jpg,"70,126,186,200",12,left,0
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_12_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_12_face00.jpg,"220,137,325,207",12,right,1
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_13_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_13_face00.jpg,"71,126,187,201",13,left,0
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_13_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_13_face00.jpg,"221,136,327,206",13,right,1
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_14_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_14_face00.jpg,"73,127,189,201",14,left,0
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_14_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_14_face00.jpg,"223,136,328,206",14,right,1
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_15_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_15_face00.jpg,"75,127,191,201",15,left,0
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_15_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_15_face00.jpg,"225,137,329,207",15,right,1
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_16_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_16_face00.jpg,"75,124,192,199",16,left,0
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_16_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_16_face00.jpg,"225,134,330,203",16,right,1
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_17_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_17_face00.jpg,"74,122,190,196",17,left,0
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_17_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_17_face00.jpg,"224,129,329,198",17,right,1
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_18_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_18_face00.jpg,"76,122,190,195",18,left,0
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_18_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_18_face00.jpg,"224,127,329,196",18,right,1
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_19_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_19_face00.jpg,"77,120,191,193",19,left,0
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_19_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_19_face00.jpg,"224,130,329,199",19,right,1
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_20_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_20_face00.jpg,"79,118,193,190",20,left,0
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_20_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_20_face00.jpg,"227,130,331,200",20,right,1
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_21_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_21_face00.jpg,"80,118,196,192",21,left,0
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_21_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_21_face00.jpg,"229,131,334,202",21,right,1
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_22_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_22_face00.jpg,"79,126,192,198",22,left,0
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_22_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_22_face00.jpg,"226,137,331,207",22,right,1
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_23_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_23_face00.jpg,"76,127,189,200",23,left,0
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_23_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_23_face00.jpg,"224,137,329,206",23,right,1
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_24_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_24_face00.jpg,"76,121,190,193",24,left,0
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_24_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_24_face00.jpg,"223,131,327,201",24,right,1
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_25_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_25_face00.jpg,"74,118,187,191",25,left,0
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_25_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_25_face00.jpg,"220,127,324,197",25,right,1
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_26_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_26_face00.jpg,"72,120,186,192",26,left,0
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_26_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_26_face00.jpg,"219,130,324,200",26,right,1
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_27_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_27_face00.jpg,"71,120,185,193",27,left,0
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_27_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_27_face00.jpg,"218,129,323,198",27,right,1
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_28_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_28_face00.jpg,"71,120,184,192",28,left,0
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_28_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_28_face00.jpg,"218,126,322,195",28,right,1
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_29_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_29_face00.jpg,"72,118,188,192",29,left,0
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_29_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_29_face00.jpg,"222,126,327,195",29,right,1
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_30_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_30_face00.jpg,"76,118,190,190",30,left,0
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_30_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_30_face00.jpg,"224,129,328,199",30,right,1
