video_id,frame_key,eye_side,eye_visibility,path_to_dataset,eye_bbox_face
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_87_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_87_face00.jpg,"71,130,187,205"
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_87_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_87_face00.jpg,"220,128,325,195"
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_152_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_152_face00.jpg,"75,127,188,199"
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_152_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_152_face00.jpg,"221,137,323,204"
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_442_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_442_face00.jpg,"69,131,185,206"
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_442_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_442_face00.jpg,"219,133,327,204"
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_173_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_173_face00.jpg,"85,133,198,205"
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_173_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_173_face00.jpg,"231,144,329,210"
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_296_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_296_face00.jpg,"75,127,191,202"
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_296_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_296_face00.jpg,"225,138,330,208"
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_522_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_522_face00.jpg,"82,130,199,205"
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_522_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_522_face00.jpg,"234,151,340,222"
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_565_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_565_face00.jpg,"80,133,196,207"
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_565_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_565_face00.jpg,"229,141,333,210"
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_321_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_321_face00.jpg,"76,134,190,206"
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_321_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_321_face00.jpg,"225,147,330,217"
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_217_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_217_face00.jpg,"102,132,215,204"
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_217_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_217_face00.jpg,"245,157,332,221"
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_357_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_357_face00.jpg,"75,129,192,204"
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_357_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_357_face00.jpg,"226,144,331,214"
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_566_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_566_face00.jpg,"79,129,193,202"
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_566_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_566_face00.jpg,"226,137,331,206"
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_58_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_58_face00.jpg,"64,127,176,203"
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_58_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_58_face00.jpg,"209,112,315,180"
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_298_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_298_face00.jpg,"76,124,192,199"
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_298_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_298_face00.jpg,"226,137,331,207"
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_277_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_277_face00.jpg,"70,131,184,204"
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_277_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_277_face00.jpg,"218,133,323,201"
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_240_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_240_face00.jpg,"74,134,190,208"
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_240_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_240_face00.jpg,"224,142,329,212"
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_150_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_150_face00.jpg,"73,131,186,203"
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_150_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_150_face00.jpg,"220,140,322,208"
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_280_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_280_face00.jpg,"71,128,188,203"
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_280_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_280_face00.jpg,"221,135,329,206"
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_318_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_318_face00.jpg,"74,131,191,205"
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_318_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_318_face00.jpg,"226,145,334,217"
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_184_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_184_face00.jpg,"67,129,179,201"
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_184_face00,right,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_184_face00.jpg,"212,138,317,207"
8_gaze_p_ew2_ebc_frame_wise_combined_01,frame_97_face00,left,True,/inwdata2a/sudhanshu/landmarks_only_training/inference_pipeline/face-crops/8_gaze_p_ew2_ebc_frame_wise_combined_01/frame_97_face00.jpg,"130,134,232,201"
